,DateTime,Filter#1_CTRL_FRC,Filter#1_CTRL_PRC,Filter#1_Inlet_Flow,Filter#1_Inlet_Pressure,Filter#1_Turbidity,Filter#2_CTRL_FRC,Filter#2_CTRL_PRC,Filter#2 _Inlet_Flow,Filter#2_Wash_Spray_Flow,Filter#2 _Inlet_Pressure,Filter#2_Outlet_Pressure,Filter#2_Turbidity,FILTER#3_CTRL_FRC,FILTER#3_CTRL_PRC,Filter#3_Inlet Flow,Filter#3_Inlet_Pressure,Filter#3_Turbidity,FILTER#4_CTRL_FRC,Second_Filters_Supply_Tank_Temperature,Filter#4 _Inlet_Flow,Filter#4_Inlet_Pressure,Filter#4 _Turbidity,FILTER#5_CTRL_FRC,FILTER#5_CTRL_PRC,Filter#5_Inlet_Flow,Filter#5_Inlet_Pressure,Filter#5 _Turbidity,FILTER#6_CTRL_FRC,Filter#6_Inlet_Flow,Filter#6 _Inlet_Pressure,Filter#6_Turbidity,Filter#1_Flow_Control_Valve,Filter#2_Flow_Control_Valve,Filter#3_Flow_Control_Valve,Filter#4 _Flow_Control_Valve,Filter#5_Flow_Control_Valve,Filter#6_Flow_Control_Valve
73544,2/22/23 5:22,396.6245,23.25895,955.606,23.08402,58.82455,325.2672,1.659566,186.8164,220.6845,31.0135,1.885089,516.0045,432.5233,16.68792,740.7191,11.20129,518.1978,218.184,79.99492,220.4744,36.83856,516.1218,377.4879,14.35754,28.46009,14.35754,515.7446,472.6136,1780.386,32.8676,479.3595,77.98742,1.293688,18.51542,75.24777,99.76009,59.74716
73545,2/22/23 5:23,393.9363,21.64147,972.8926,21.45041,62.567,352.2873,1.828082,159.3074,208.4836,30.72389,1.624797,516.0131,444.0709,17.24277,766.1746,11.89097,518.1978,216.2729,80.02058,221.1901,36.52859,516.1215,376.8799,14.51213,30.43495,14.51213,515.7441,463.6364,1816.591,32.22604,479.5876,77.45885,1.401155,19.02314,74.59531,99.75359,58.61227
74562,2/24/23 12:12,700.843,32.17305,793.304,32.0163,48.88352,0.0,0.0,0.3918354,111.8903,-0.9228048,6.219723,327.384,76.3549,39.25087,415.6037,39.25087,518.1978,200.0,59.96158,154.8945,36.43483,515.7513,200.0,34.30819,166.8125,34.30819,515.5772,453.6691,383.3747,33.58822,380.5036,86.80386,0.0,23.01103,60.87565,62.7131,100.0
74563,2/24/23 12:13,688.598,32.49545,780.4004,32.34643,25.2076,0.0,0.0,0.3924159,110.3858,-0.9227092,6.264222,332.0419,74.20274,39.26089,417.3312,39.26089,518.1978,200.0,59.93217,153.5549,36.58173,515.7524,200.0,34.55228,165.2386,34.55228,515.5778,447.7035,377.6862,33.8536,383.3861,87.52651,0.0,22.38059,61.72678,63.49416,100.0
74564,2/24/23 12:15,676.22,32.82135,767.3565,32.68014,1.274327,0.0,0.0,0.3930028,108.865,-0.9226127,6.309205,336.7505,72.02718,39.27102,419.0774,39.27102,518.1978,200.0,59.97615,152.2007,36.73023,515.7535,200.0,34.79902,163.6475,34.79902,515.5783,441.673,371.9358,34.12186,386.3001,88.25701,0.0,21.7433,62.58717,64.28371,100.0
78807,3/5/23 18:54,413.048,40.11656,818.9378,40.11656,319.3863,101.8992,40.093,793.6168,133.14,40.093,1.892915,111.9602,348.5064,39.83685,32.691,39.83685,518.1978,260.5211,84.88765,437.0522,-0.6759343,517.3359,1.29442,16.49004,0.3090709,21.01882,517.7462,243.2908,21.9549,40.06945,139.7688,100.0,18.12081,66.42567,56.99265,0.0,42.78275
78808,3/5/23 19:08,500.0,37.6644,981.3173,34.51783,280.8729,0.0,37.27183,729.3682,141.8857,37.27183,2.38851,122.9017,308.8193,35.30033,29.03363,35.4302,518.1978,336.7644,84.79754,520.4145,-0.7509421,517.4952,8.023798,9.297667,55.84518,15.22056,517.6163,165.8338,15.08036,33.96711,167.4854,94.20438,0.0,58.86127,69.04796,6.917356,29.16192
78809,3/5/23 19:22,484.2055,35.22396,1142.921,28.94585,242.5435,219.7164,34.46414,665.4267,150.5896,34.46414,2.881737,133.791,269.322,30.78548,25.39374,31.04461,518.1978,412.6435,84.70786,603.3783,-0.8255913,517.6538,14.72102,2.139666,111.1159,9.450015,517.4871,88.74699,8.238667,27.89394,195.0695,88.43646,0.366237,51.33303,81.04565,13.80165,15.60618
78810,3/5/23 19:23,482.8593,35.01595,1156.695,28.47093,249.9206,238.4438,34.22483,659.9767,151.3314,34.22483,2.923777,134.7192,265.9554,30.40067,25.0835,30.6708,518.1978,419.111,84.70022,610.4496,-0.831954,517.6673,15.29185,1.529561,115.8268,8.958167,517.476,82.17657,7.655522,27.3763,197.4206,87.94484,0.3974528,50.69137,82.06827,14.38843,14.45077
78811,3/5/23 19:24,481.8544,34.86068,1166.977,28.11641,255.4275,252.4233,34.04619,655.9084,151.8852,34.04619,2.955158,135.412,263.4424,30.11341,24.85191,30.39177,518.1978,423.9388,84.71134,615.7283,-0.8367036,517.6774,15.71796,1.07413,119.3435,8.591013,517.4678,77.27189,7.220216,26.98989,199.1757,87.57785,0.4207548,50.21238,82.83163,14.82645,13.58828
78812,3/5/23 19:26,479.4843,34.49446,1155.867,27.28028,268.4153,285.394,33.62487,646.3134,153.1913,33.62487,3.029172,137.0461,257.5154,29.43591,24.30571,29.73367,518.1978,435.3252,84.73759,628.1778,-0.8479055,517.7012,16.72295,0.0,127.6374,7.725084,517.4484,65.70424,6.193552,26.07855,203.3149,86.71232,0.4757123,49.0827,84.632,15.8595,11.55411
78813,3/5/23 19:32,472.7531,33.45442,1124.313,24.90567,305.3008,379.0307,32.42832,619.0634,156.9007,32.42832,3.239371,141.6867,240.6828,27.51182,22.7545,27.86466,518.1978,467.6626,84.81211,663.5345,-0.8797188,517.7687,19.5771,1.339381,151.1921,5.265847,517.3933,32.85212,3.277825,23.49035,215.0705,84.2542,0.6317917,45.87438,89.74506,18.79339,5.777054
